    n | CN                                       | FR                                                           | EN                                                
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    1 | 离乡                                       | Le Départ                                                    | Chapter 1 Leaving Home                            
    2 | 仙人                                       | Les Immortels                                                | Chapter 2 - Immortals                             
    3 | ，万字爆发完毕！）                                | Test                                                         | Chapter 3 - Test                                  
    4 | 无情                                       | Impitoyable                                                  | Chapter 4 - Heartless                             
    5 | 回程                                       | Le Retour                                                    | Chapter 5 - The Return                            
    6 | 势利                                       | Insultes                                                     | Chapter 6 - Insults                               
    7 | 留书                                       | Le départ du foyer                                           | Chapter 7 - Leaving Home                          
    8 | 石珠                                       | Perle de pierre                                              | Chapter 8 - Stone Bead                            
    9 | 下崖                                       | Descente du précipice                                        | Chapter 9 - Down the cliff                        
   10 | 入门                                       | "L'entrée dans la Secte"                                     | Chapter 10 - Entering the Sect                    
   11 | 张虎                                       | Zhang Hu                                                     | Chapter 11 - Zhang Hu                             
   12 | 仙符                                       | Talisman Immortel                                            | Chapter 12 - Immortal Talisman                    
   13 | 长老                                       | "L'Ancien"                                                   | Chapter 13 - The Elder                            
   14 | 异变                                       | Transformation Inattendue                                    | Chapter 14 - Unexpected Transformation            
   15 | 怀疑                                       | Suspicion                                                    | Chapter 15 - Suspicion                            
   16 | 弟子                                       | Disciple                                                     | Chapter 16 - Disciple                             
   17 | 修仙                                       | Culture                                                      | Chapter 17 - Cultivation                          
   18 | 葫芦                                       | La Courge                                                    | Chapter 18 - Gourd                                
   19 | 逐门                                       | Chassé                                                       | Chapter 19 - Chased out                           
   20 | 九云                                       | Neuf Nuages                                                  | Chapter 20 - Nine Clouds                          
   21 | 夺灵                                       | Pilule de Rassemblement du Qi                                | Chapter 21 - Qi Gathering Pill                    
   22 | 散功                                       | La Technique de Dispersion                                   | Chapter 22 - Scattering Technique                 
   23 | 十云                                       | Le dixième nuage                                             | Chapter 23 - Tenth Cloud                          
   24 | 修炼                                       | Culture                                                      | Chapter 24 - Cultivation                          
   25 | 凝气                                       | Condensation de Qi                                           | Chapter 25 - Qi Condensation                      
   26 | 歹意                                       | Pensées malveillantes                                        | Chapter 26 - Malicious Thoughts                   
   27 | 来访                                       | Visite                                                       | Chapter 27 - Visit                                
   28 | 杂务                                       | Les corvées                                                  | Chapter 28 - Chores                               
   29 | 上门                                       | Porte verrouillée                                            | Chapter 29 - Locked Door                          
   30 | 王浩                                       | Wang Hao                                                     | Chapter 30 - Wang Hao                             
   31 | 雪水                                       | Eau de Neige                                                 | Chapter 31 - Snow Water                           
   32 | 交易                                       | Échange                                                      | Chapter 32 - Exchange                             
   33 | 口诀                                       | Chapitre 33                                                  | Chapter 33 - Main Text                            
   34 | 集训                                       | Entraînement                                                 | Chapter 34 - Training                             
